code,language (возрастание сложности)
ita_Latn,Italian (it)
eng_Latn,English (en)
slv_Latn,Slovenian (sl)
gle_Latn,Irish (ga)
fra_Latn,French (fr)
spa_Latn,Spanish (es)
por_Latn,Portuguese (pt)
lit_Latn,Lithuanian (lt)
ces_Latn,Czech (cs)
est_Latn,Estonian (et)
mlt_Latn,Maltese (mt)
slk_Latn,Slovak (sk)
nld_Latn,Dutch (nl)
swe_Latn,Swedish (sv)
dan_Latn,Danish (da)
pol_Latn,Polish (pl)
hun_Latn,Hungarian (hu)
ell_Grek,Greek (el)
fin_Latn,Finnish (fi)
deu_Latn,German (ge)
lvs_Latn,"Latvian, Lettish (lv)"
