code,lang,Family,Subgrouping
heb_Hebr,Hebrew,Afro-Asiatic,Semitic
sot_Latn,Southern Sotho,Atlantic-Congo,Benue-Congo
vie_Latn,Vietnamese,Austroasiatic,Vietic
tgl_Latn,Tagalog,Austronesian,Malayo-Polynesian
eus_Latn,Basque,Basque,-
hin_Deva,Hindi,Devanagari,Indo-Aryan
als_Latn,Tosk Albanian,Indo-European,Albanian
mkd_Cyrl,Macedonian,Indo-European,Balto-Slavic
isl_Latn,Icelandic,Indo-European,Germanic
ell_Grek,Greek,Indo-European,Graeco-Phrygian
ben_Beng,Bengali,Indo-European,Indo-Aryan
ron_Latn,Romanian,Indo-European,Italic
jpn_Jpan,Japanese,Japonic,Japanesic
kor_Hang,Korean,Koreanic,Korean
zho_Hans,Chinese,Sino-Tibetan,Sinitic
tha_Thai,Thai,Tai-Kadai,Kam-Tai
uzn_Latn,Northern Uzbek,Turkic,Common Turkic
est_Latn,Estonian,Uralic,Finnic
fin_Latn,Finnish,Uralic,Uralic
